Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date Time	Begin File	Avg Power Density (dB FS/Hz)	Energy (dB FS)	Max Entropy (bits)	Max Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Center Time (s)	Truth (0 or 1)	Background (kHz)	Missed (in 10s frame)	Other Disturb. Type	Detector	Frame Duration	Occupancy	Reason
561	Spectrogram 1	1	4520.565312500	4520.575979167	200.000	2000.000	4520.5653	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4520.5760					Band Limited Energy Detector	1	1.0000	Too short
562	Spectrogram 1	1	4524.213312500	4524.234645833	200.000	2000.000	4524.2133	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4524.2240					Band Limited Energy Detector	2	1.0000	Detection
563	Spectrogram 1	1	4526.602645833	4526.666645833	200.000	2000.000	4526.6026	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.11	2.549	2.523	421.875	421.875	-30.76	4526.6240					Band Limited Energy Detector	6	0.5000	Too sparse
564	Spectrogram 1	1	4526.783979167	4526.794645833	200.000	2000.000	4526.7840	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4526.7946					Band Limited Energy Detector	1	1.0000	Too short
565	Spectrogram 1	1	4531.242645833	4531.306645833	200.000	2000.000	4531.2426	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.11	2.549	2.523	421.875	421.875	-30.76	4531.2640					Band Limited Energy Detector	6	0.6667	Detection
566	Spectrogram 1	1	4533.162645833	4533.173312500	200.000	2000.000	4533.1626	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4533.1626					Band Limited Energy Detector	1	1.0000	Too short
567	Spectrogram 1	1	4551.829312500	4551.839979167	200.000	2000.000	4551.8293	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4551.8400					Band Limited Energy Detector	1	1.0000	Too short
568	Spectrogram 1	1	4556.629312500	4556.639979167	200.000	2000.000	4556.6293	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4556.6400					Band Limited Energy Detector	1	1.0000	Too short
569	Spectrogram 1	1	4559.178645833	4559.189312500	200.000	2000.000	4559.1786	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4559.1786					Band Limited Energy Detector	1	1.0000	Too short
570	Spectrogram 1	1	4559.850645833	4560.074645833	200.000	2000.000	4559.8506	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.45	7.649	2.552	421.875	421.875	-30.16	4559.9573					Band Limited Energy Detector	21	0.2857	Too sparse
571	Spectrogram 1	1	4567.359979167	4567.381312500	200.000	2000.000	4567.3600	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4567.3706					Band Limited Energy Detector	2	1.0000	Detection
572	Spectrogram 1	1	4568.106645833	4568.117312500	200.000	2000.000	4568.1066	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4568.1066					Band Limited Energy Detector	1	1.0000	Too short
573	Spectrogram 1	1	4570.613312500	4570.623979167	200.000	2000.000	4570.6133	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4570.6133					Band Limited Energy Detector	1	1.0000	Too short
574	Spectrogram 1	1	4577.237312500	4577.247979167	200.000	2000.000	4577.2373	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4577.2480					Band Limited Energy Detector	1	1.0000	Too short
575	Spectrogram 1	1	4582.186645833	4582.197312500	200.000	2000.000	4582.1866	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4582.1866					Band Limited Energy Detector	1	1.0000	Too short
576	Spectrogram 1	1	4587.989312500	4588.117312500	200.000	2000.000	4587.9893	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.84	4.837	2.523	421.875	421.875	-30.76	4588.0426					Band Limited Energy Detector	12	0.2500	Too sparse
577	Spectrogram 1	1	4597.151979167	4597.279979167	200.000	2000.000	4597.1520	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.84	4.837	2.523	421.875	421.875	-30.76	4597.2053					Band Limited Energy Detector	12	0.5833	Too sparse
578	Spectrogram 1	1	4606.133312500	4606.143979167	200.000	2000.000	4606.1333	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4606.1440					Band Limited Energy Detector	1	1.0000	Too short
579	Spectrogram 1	1	4614.239979167	4614.250645833	200.000	2000.000	4614.2400	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4614.2506					Band Limited Energy Detector	1	1.0000	Too short
580	Spectrogram 1	1	4615.359979167	4615.530645833	200.000	2000.000	4615.3600	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.67	5.969	2.552	421.875	421.875	-30.76	4615.4453					Band Limited Energy Detector	16	0.3125	Too sparse
581	Spectrogram 1	1	4622.879979167	4622.890645833	200.000	2000.000	4622.8800	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4622.8906					Band Limited Energy Detector	1	1.0000	Too short
582	Spectrogram 1	1	4623.071979167	4623.082645833	200.000	2000.000	4623.0720	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4623.0826					Band Limited Energy Detector	1	1.0000	Too short
583	Spectrogram 1	1	4629.013312500	4629.098645833	200.000	2000.000	4629.0133	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.42	2.915	2.523	421.875	421.875	-30.76	4629.0453					Band Limited Energy Detector	8	0.2500	Too sparse
584	Spectrogram 1	1	4640.181312500	4640.223979167	200.000	2000.000	4640.1813	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.76	1.140	2.523	421.875	421.875	-30.76	4640.2026					Band Limited Energy Detector	4	0.7500	Detection
585	Spectrogram 1	1	4644.245312500	4644.287979167	200.000	2000.000	4644.2453	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.76	1.140	2.523	421.875	421.875	-30.76	4644.2666					Band Limited Energy Detector	4	0.5000	Too sparse
586	Spectrogram 1	1	4646.815979167	4646.826645833	200.000	2000.000	4646.8160	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4646.8266					Band Limited Energy Detector	1	1.0000	Too short
587	Spectrogram 1	1	4649.023979167	4649.034645833	200.000	2000.000	4649.0240	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4649.0346					Band Limited Energy Detector	1	1.0000	Too short
588	Spectrogram 1	1	4657.535979167	4657.621312500	200.000	2000.000	4657.5360	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.69	3.217	2.523	421.875	421.875	-30.76	4657.5680					Band Limited Energy Detector	8	0.3750	Too sparse
589	Spectrogram 1	1	4660.138645833	4660.170645833	200.000	2000.000	4660.1386	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.04	0.613	2.523	421.875	421.875	-30.76	4660.1493					Band Limited Energy Detector	3	0.6667	Detection
590	Spectrogram 1	1	4668.095979167	4668.106645833	200.000	2000.000	4668.0960	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4668.1066					Band Limited Energy Detector	1	1.0000	Too short
591	Spectrogram 1	1	4674.175979167	4674.186645833	200.000	2000.000	4674.1760	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4674.1866					Band Limited Energy Detector	1	1.0000	Too short
592	Spectrogram 1	1	4674.506645833	4674.517312500	200.000	2000.000	4674.5066	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4674.5066					Band Limited Energy Detector	1	1.0000	Too short
593	Spectrogram 1	1	4676.618645833	4676.778645833	200.000	2000.000	4676.6186	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.67	5.969	2.552	421.875	421.875	-30.76	4676.6933					Band Limited Energy Detector	15	0.2667	Too sparse
594	Spectrogram 1	1	4677.269312500	4677.279979167	200.000	2000.000	4677.2693	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4677.2693					Band Limited Energy Detector	1	1.0000	Too short
595	Spectrogram 1	1	4680.511979167	4680.522645833	200.000	2000.000	4680.5120	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4680.5226					Band Limited Energy Detector	1	1.0000	Too short
596	Spectrogram 1	1	4685.898645833	4685.909312500	200.000	2000.000	4685.8986	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4685.8986					Band Limited Energy Detector	1	1.0000	Too short
597	Spectrogram 1	1	4688.266645833	4688.287979167	200.000	2000.000	4688.2666	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.04	0.613	2.523	421.875	421.875	-30.76	4688.2773					Band Limited Energy Detector	2	1.0000	Detection
598	Spectrogram 1	1	4688.426645833	4688.533312500	200.000	2000.000	4688.4266	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.64	4.657	2.523	421.875	421.875	-30.76	4688.4693					Band Limited Energy Detector	10	0.4000	Too sparse
599	Spectrogram 1	1	4697.354645833	4697.407979167	200.000	2000.000	4697.3546	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.11	2.549	2.523	421.875	421.875	-30.76	4697.3760					Band Limited Energy Detector	5	0.4000	Too sparse
600	Spectrogram 1	1	4698.282645833	4698.293312500	200.000	2000.000	4698.2826	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4698.2826					Band Limited Energy Detector	1	1.0000	Too short
601	Spectrogram 1	1	4699.797312500	4699.807979167	200.000	2000.000	4699.7973	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4699.8080					Band Limited Energy Detector	1	1.0000	Too short
602	Spectrogram 1	1	4709.962645833	4710.037312500	200.000	2000.000	4709.9626	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.69	3.217	2.523	421.875	421.875	-30.76	4709.9840					Band Limited Energy Detector	7	0.5714	Too sparse
603	Spectrogram 1	1	4728.970645833	4728.981312500	200.000	2000.000	4728.9706	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4728.9706					Band Limited Energy Detector	1	1.0000	Too short
604	Spectrogram 1	1	4747.861312500	4747.871979167	200.000	2000.000	4747.8613	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4747.8720					Band Limited Energy Detector	1	1.0000	Too short
605	Spectrogram 1	1	4748.810645833	4748.927979167	200.000	2000.000	4748.8106	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.84	4.837	2.523	421.875	421.875	-30.76	4748.8533					Band Limited Energy Detector	11	0.2727	Too sparse
606	Spectrogram 1	1	4751.285312500	4751.295979167	200.000	2000.000	4751.2853	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4751.2960					Band Limited Energy Detector	1	1.0000	Too short
607	Spectrogram 1	1	4761.471979167	4761.482645833	200.000	2000.000	4761.4720	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4761.4826					Band Limited Energy Detector	1	1.0000	Too short
608	Spectrogram 1	1	4762.826645833	4762.837312500	200.000	2000.000	4762.8266	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4762.8266					Band Limited Energy Detector	1	1.0000	Too short
609	Spectrogram 1	1	4770.901312500	4770.911979167	200.000	2000.000	4770.9013	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4770.9120					Band Limited Energy Detector	1	1.0000	Too short
610	Spectrogram 1	1	4775.199979167	4775.210645833	200.000	2000.000	4775.2000	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4775.2106					Band Limited Energy Detector	1	1.0000	Too short
611	Spectrogram 1	1	4777.301312500	4777.311979167	200.000	2000.000	4777.3013	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4777.3013					Band Limited Energy Detector	1	1.0000	Too short
612	Spectrogram 1	1	4780.938645833	4780.949312500	200.000	2000.000	4780.9386	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4780.9386					Band Limited Energy Detector	1	1.0000	Too short
613	Spectrogram 1	1	4781.354645833	4781.471979167	200.000	2000.000	4781.3546	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.84	4.837	2.523	421.875	421.875	-30.76	4781.3973					Band Limited Energy Detector	11	0.4545	Too sparse
614	Spectrogram 1	1	4782.730645833	4782.741312500	200.000	2000.000	4782.7306	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4782.7306					Band Limited Energy Detector	1	1.0000	Too short
615	Spectrogram 1	1	4786.549312500	4786.559979167	200.000	2000.000	4786.5493	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4786.5600					Band Limited Energy Detector	1	1.0000	Too short
616	Spectrogram 1	1	4786.677312500	4786.698645833	200.000	2000.000	4786.6773	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4786.6880					Band Limited Energy Detector	2	1.0000	Detection
617	Spectrogram 1	1	4786.997312500	4787.007979167	200.000	2000.000	4786.9973	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4786.9973					Band Limited Energy Detector	1	1.0000	Too short
618	Spectrogram 1	1	4789.333312500	4789.354645833	200.000	2000.000	4789.3333	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4789.3440					Band Limited Energy Detector	2	1.0000	Detection
619	Spectrogram 1	1	4816.853312500	4816.949312500	200.000	2000.000	4816.8533	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.78	3.642	2.523	421.875	421.875	-30.76	4816.8960					Band Limited Energy Detector	9	0.5556	Too sparse
620	Spectrogram 1	1	4819.903979167	4819.914645833	200.000	2000.000	4819.9040	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4819.9146					Band Limited Energy Detector	1	1.0000	Too short
621	Spectrogram 1	1	4826.591979167	4826.602645833	200.000	2000.000	4826.5920	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4826.6026					Band Limited Energy Detector	1	1.0000	Too short
622	Spectrogram 1	1	4827.114645833	4827.125312500	200.000	2000.000	4827.1146	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4827.1146					Band Limited Energy Detector	1	1.0000	Too short
623	Spectrogram 1	1	4827.285312500	4827.295979167	200.000	2000.000	4827.2853	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4827.2960					Band Limited Energy Detector	1	1.0000	Too short
624	Spectrogram 1	1	4837.237312500	4837.247979167	200.000	2000.000	4837.2373	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4837.2480					Band Limited Energy Detector	1	1.0000	Too short
625	Spectrogram 1	1	4838.698645833	4838.709312500	200.000	2000.000	4838.6986	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4838.6986					Band Limited Energy Detector	1	1.0000	Too short
626	Spectrogram 1	1	4838.858645833	4838.943979167	200.000	2000.000	4838.8586	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.78	3.642	2.523	421.875	421.875	-30.76	4838.8906					Band Limited Energy Detector	8	0.3750	Too sparse
627	Spectrogram 1	1	4841.333312500	4841.354645833	200.000	2000.000	4841.3333	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4841.3440					Band Limited Energy Detector	2	1.0000	Detection
628	Spectrogram 1	1	4843.295979167	4843.338645833	200.000	2000.000	4843.2960	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.04	0.613	2.523	421.875	421.875	-30.76	4843.3173					Band Limited Energy Detector	4	0.7500	Detection
629	Spectrogram 1	1	4847.007979167	4847.018645833	200.000	2000.000	4847.0080	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4847.0186					Band Limited Energy Detector	1	1.0000	Too short
630	Spectrogram 1	1	4851.231979167	4851.242645833	200.000	2000.000	4851.2320	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4851.2426					Band Limited Energy Detector	1	1.0000	Too short
631	Spectrogram 1	1	4851.850645833	4851.871979167	200.000	2000.000	4851.8506	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.04	0.613	2.523	421.875	421.875	-30.76	4851.8613					Band Limited Energy Detector	2	1.0000	Detection
632	Spectrogram 1	1	4854.527979167	4854.538645833	200.000	2000.000	4854.5280	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4854.5386					Band Limited Energy Detector	1	1.0000	Too short
633	Spectrogram 1	1	4856.586645833	4856.597312500	200.000	2000.000	4856.5866	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4856.5866					Band Limited Energy Detector	1	1.0000	Too short
634	Spectrogram 1	1	4862.559979167	4862.570645833	200.000	2000.000	4862.5600	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4862.5706					Band Limited Energy Detector	1	1.0000	Too short
635	Spectrogram 1	1	4863.477312500	4863.498645833	200.000	2000.000	4863.4773	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4863.4880					Band Limited Energy Detector	2	1.0000	Detection
636	Spectrogram 1	1	4900.245312500	4900.255979167	200.000	2000.000	4900.2453	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4900.2560					Band Limited Energy Detector	1	1.0000	Too short
637	Spectrogram 1	1	4908.767979167	4908.778645833	200.000	2000.000	4908.7680	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4908.7786					Band Limited Energy Detector	1	1.0000	Too short
638	Spectrogram 1	1	4908.885312500	4908.895979167	200.000	2000.000	4908.8853	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4908.8853					Band Limited Energy Detector	1	1.0000	Too short
639	Spectrogram 1	1	4910.687979167	4910.698645833	200.000	2000.000	4910.6880	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4910.6986					Band Limited Energy Detector	1	1.0000	Too short
640	Spectrogram 1	1	4911.829312500	4911.861312500	200.000	2000.000	4911.8293	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.04	0.613	2.523	421.875	421.875	-30.76	4911.8506					Band Limited Energy Detector	3	0.6667	Detection
641	Spectrogram 1	1	4917.557312500	4917.567979167	200.000	2000.000	4917.5573	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4917.5680					Band Limited Energy Detector	1	1.0000	Too short
642	Spectrogram 1	1	4920.010645833	4920.021312500	200.000	2000.000	4920.0106	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4920.0106					Band Limited Energy Detector	1	1.0000	Too short
643	Spectrogram 1	1	4957.183979167	4957.215979167	200.000	2000.000	4957.1840	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.04	0.613	2.523	421.875	421.875	-30.76	4957.2053					Band Limited Energy Detector	3	0.6667	Detection
644	Spectrogram 1	1	4975.658645833	4975.669312500	200.000	2000.000	4975.6586	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4975.6586					Band Limited Energy Detector	1	1.0000	Too short
645	Spectrogram 1	1	4981.674645833	4981.813312500	200.000	2000.000	4981.6746	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.66	5.680	2.552	421.875	421.875	-30.76	4981.7386					Band Limited Energy Detector	13	0.7692	Detection
646	Spectrogram 1	1	4981.983979167	4981.994645833	200.000	2000.000	4981.9840	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4981.9946					Band Limited Energy Detector	1	1.0000	Too short
647	Spectrogram 1	1	4983.114645833	4983.125312500	200.000	2000.000	4983.1146	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	4983.1146					Band Limited Energy Detector	1	1.0000	Too short
648	Spectrogram 1	1	4986.058645833	4986.079979167	200.000	2000.000	4986.0586	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.04	0.613	2.523	421.875	421.875	-30.76	4986.0693					Band Limited Energy Detector	2	1.0000	Detection
649	Spectrogram 1	1	4990.463979167	4990.474645833	200.000	2000.000	4990.4640	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	4990.4746					Band Limited Energy Detector	1	1.0000	Too short
650	Spectrogram 1	1	5009.407979167	5009.418645833	200.000	2000.000	5009.4080	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	5009.4186					Band Limited Energy Detector	1	1.0000	Too short
651	Spectrogram 1	1	5012.255979167	5012.277312500	200.000	2000.000	5012.2560	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	5012.2666					Band Limited Energy Detector	2	1.0000	Detection
652	Spectrogram 1	1	5012.511979167	5012.522645833	200.000	2000.000	5012.5120	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	5012.5226					Band Limited Energy Detector	1	1.0000	Too short
653	Spectrogram 1	1	5018.965312500	5019.061312500	200.000	2000.000	5018.9653	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.78	3.642	2.523	421.875	421.875	-30.76	5019.0080					Band Limited Energy Detector	9	0.6667	Detection
654	Spectrogram 1	1	5033.695979167	5033.834645833	200.000	2000.000	5033.6960	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.84	4.837	2.523	421.875	421.875	-30.76	5033.7493					Band Limited Energy Detector	13	0.3077	Too sparse
655	Spectrogram 1	1	5033.973312500	5034.047979167	200.000	2000.000	5033.9733	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.42	2.915	2.523	421.875	421.875	-30.76	5034.0053					Band Limited Energy Detector	7	0.4286	Too sparse
656	Spectrogram 1	1	5034.879979167	5034.901312500	200.000	2000.000	5034.8800	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	5034.8906					Band Limited Energy Detector	2	1.0000	Detection
657	Spectrogram 1	1	5035.946645833	5035.957312500	200.000	2000.000	5035.9466	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	5035.9466					Band Limited Energy Detector	1	1.0000	Too short
658	Spectrogram 1	1	5040.533312500	5040.543979167	200.000	2000.000	5040.5333	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	5040.5333					Band Limited Energy Detector	1	1.0000	Too short
659	Spectrogram 1	1	5041.098645833	5041.109312500	200.000	2000.000	5041.0986	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-43.38	-0.494	2.523	421.875	421.875	-30.76	5041.0986					Band Limited Energy Detector	1	1.0000	Too short
660	Spectrogram 1	1	5043.573312500	5043.637312500	200.000	2000.000	5043.5733	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.42	2.915	2.523	421.875	421.875	-30.76	5043.5946					Band Limited Energy Detector	6	0.3333	Too sparse
661	Spectrogram 1	1	5047.135979167	5047.146645833	200.000	2000.000	5047.1360	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	5047.1466					Band Limited Energy Detector	1	1.0000	Too short
662	Spectrogram 1	1	5059.349312500	5059.402645833	200.000	2000.000	5059.3493	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-44.76	1.140	2.523	421.875	421.875	-30.76	5059.3706					Band Limited Energy Detector	5	0.6000	Detection
663	Spectrogram 1	1	5062.229312500	5062.314645833	200.000	2000.000	5062.2293	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.69	3.217	2.523	421.875	421.875	-30.76	5062.2506					Band Limited Energy Detector	8	0.3750	Too sparse
664	Spectrogram 1	1	5062.943979167	5063.039979167	200.000	2000.000	5062.9440	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-45.78	3.642	2.523	421.875	421.875	-30.76	5062.9866					Band Limited Energy Detector	9	0.3333	Too sparse
665	Spectrogram 1	1	5064.597312500	5064.607979167	200.000	2000.000	5064.5973	CK6-1-10-2024_000H_GU-B1_16289_20240105_013602.flac	-42.69	-2.811	1.857	421.875	421.875	-30.76	5064.6080					Band Limited Energy Detector	1	1.0000	Too short
